movie_id,title,description,filename
21,すべてが変わった日,1963年、モンタナ州の牧場。元保安官のジョージ・ブラックリッジと妻のマーガレットは、落馬の事故で息子のジェームズを失う。3年後、未亡人として幼い息子のジミーを育てていた義理の娘のローナが、ドニー・ウィボーイと再婚。暴力的なドニーがローナとジミーを連れてノースダコタ州の実家に引っ越したと知ったマーガレットは、義理の娘と孫を取り戻すことを決意する。しかしジョージとマーガレットを待ち受けていたのは、暴力と支配欲ですべてを仕切る異様な女家長、ブランシュ・ウィボーイだった……。,21.jpg
22,サマーフィルムにのって,勝新を敬愛する高校３年生のハダシ。 キラキラ恋愛映画ばかりの映画部では、撮りたい時代劇を作れずにくすぶっていた。 そんなある日、彼女の前に現れたのは武士役にぴったりな凛太郎。 すぐさま個性豊かな仲間を集め出したハダシは、 「打倒ラブコメ！」を掲げ文化祭でのゲリラ上映を目指すことに。 青春全てをかけた映画作りの中で、ハダシは凛太郎へほのかな恋心を抱き始めるが、 彼には未来からやってきたタイムトラベラーだという秘密があった――。,22.jpg
23,ドント・ブリーズ２,人気のない郊外の古びた屋敷に住む、ある盲目の老人。彼はその屋敷で一人の少女を大切に育て、二人だけで静かに暮らしていた――その男こそ、8年前、強盗に押し入られた被害者として生きているが、実は強盗団を惨殺した過去をもつ、あの盲目の老人だった…。ある日、謎の武装集団が老人の屋敷に静かに忍び込む。その目的は少女――。暗闇の中、すべてを知り尽くした屋敷内で全員の抹殺を試みるも、訓練されていた集団は老人を襲い、火を放つ。命からがら炎の中から逃げ出したが、そこに少女の姿はない。目覚める狂気の怒り。老人は己の手で大切に育てた少女を取り戻すため、武装集団の後を追う…。,23.jpg
24,ボヘミアン・ラプソディ,レディー・ガガが「史上最高の天才エンターテイナー」、ケイティ・ペリーが「今も最も影響を受けている」と称賛。それが伝説のバンド＜クイーン＞のリード・ヴォーカル、フレディ・マーキュリーだ。彼の名前を知らなくても、「ボヘミアン・ラプソディ」、「伝説のチャンピオン」、「ウィ・ウィル・ロック・ユー」などのワンフレーズを耳にすれば、誰もがたちまち心浮き立ち、思わず歌いださずにいられない。どうやってフレディは、世間の常識や既成概念に逆らい、従来の音楽を打ち破り、地上で最も愛されるエンターテイナーになったのか？,24.jpg
25,映画　賭ケグルイ　絶体絶命ロシアンルーレット,ギャンブルの強さだけで学内のヒエラルキーが決まる私立百花王学園。蛇喰夢子（浜辺美波）の脅威に、生徒会が危機感を募らせる中、上納金を支払うことができない「家畜」の数が急増。そんな中、2年前のある事件を機に、停学処分を受けていた視鬼神真玄（藤井流星）が舞い戻る。彼の策略にハメられた夢子は打ち負かされ、ギャンブルを封じ込められてしまう。傍若無人な視鬼神は、ついに桃喰綺羅莉（池田エライザ）を生徒会長の座から引きずり下ろす。そして迎えた、会長交代式。夢子は視鬼神に“公式戦”を申し込むのだった―,25.jpg
26,シン・ゴジラ,"東京湾・羽田沖。突如、東京湾アクアトンネルが巨大な轟音とともに大量の浸水に巻き込まれ、崩落する原因不明の事故が発生した。首相官邸では総理大臣以下、閣僚が参集されて緊急会議が開かれ、内閣官房副長官・矢口蘭堂は、海中に棲む巨大生物による可能性を指摘。周囲は矢口の意見を一笑に付すものの、直後、海上に巨大不明生物の姿が露わになった。慌てふためく政府関係者が情報収集に追われる中、謎の巨大不明生物は上陸。普段と何も変わらない生活を送っていた人々の前に突然現れ、次々と街を破壊し、止まること無く進んでいく。政府は緊急対策本部を設置し、自衛隊に防衛出動命令を発動。そして、川崎市街にて、“ゴジラ”と名付けられたその巨大不明生物と、自衛隊との一大決戦の火蓋がついに切られた。果たして、人智を遥かに凌駕する完全生物・ゴジラに対し、人間に為す術はあるのか？(C)2016 TOHO CO.,LTD.",26.jpg
27,劇場版 ファイナルファンタジーXIV 光のお父さん,仕事一筋だった父が、突然会社を辞めた。母と妹も一日中ボーっとテレビを見ている父を、遠巻きに眺めている。父の本音を知りたい、そんな願いに突き動かされたアキオはある計画を閃く。子供の頃、一緒に遊んだ思い出のあるゲーム「ファイナルファンタジー」のオンラインの世界に父を誘い、自分は正体を隠して共に冒険に出るのだ。アキオは顔も本名も知らないゲーム仲間たちの協力のもと、計画を進めていく。だが、この時のアキオは思いもしなかった。父に、誰にも告げていない秘密があるとは--。(C)2019『劇場版 ファイナルファンタジーXIV 光のお父さん』製作委員会(C)マイディー/スクウェア・エニックス,27.jpg
28,ザ・ファブル,どんな相手も6秒以内に殺す?“ファブル(寓話)”と呼ばれる謎の殺し屋は、裏社会で誰もが「伝説」と恐れる存在だった。仕事をしすぎた彼に、ボスが与えたミッション。それは、「一年間、誰も殺すな。一般人に溶け込み普通に暮らせ。休業中に誰かを殺したら、俺がお前を殺す。」ファブルは、佐藤アキラという偽名を使い、相棒のヨウコと共に、生まれて初めて一般人としての生活を始める。殺しを封じ、バイトをしたり、インコを飼ったり、≪普通≫を満喫しはじめた矢先、裏社会の人間たちが引き起こすトラブルに次々と巻き込まれる。ついにはファブルが一般社会で出会い、世話になった女性・ミサキが人質に取られ、事態は思わぬ方向に！ファブルは、ヨウコの協力のもと、「誰も殺さず人質救出」という前代未聞の無謀なミッションに挑む！(C)2019「ザ・ファブル」製作委員会,28.jpg
29,ジョーカー(字幕版),"売れないコメディアンのアーサー・フレックが暴漢に遭遇したのは、ゴッサムシティの街を道化姿でさまよっていたときだった。社会から見捨てられたフレックは徐々に狂気への坂を転落してゆき、やがてジョーカーという名のカリスマ的な犯罪者へと変貌を遂げる。トッド・フィリップス監督が放つ、衝撃のサスペンス・エンターテイメント！ Rating R15+ TM & (C) DC. Joker (C) 2019 Warner Bros. Entertainment Inc., Village Roadshow Films (BVI) Limited and BRON Creative USA, Corp. All rights reserved.",29.jpg
30,カイジ ファイナルゲーム,2020年、国を挙げて盛大に開かれた東京オリンピックの終了を機に、この国の景気は恐ろしい速さで失速していった。金を持つ強者だけが生き残り、金のない弱者は簡単に踏みつぶされ、身を寄せ合うことで何とか今を生きていた。自堕落な生活を送っていたカイジは、派遣会社からクズと罵られ、薄っぺらい給料袋を手渡される。そんなカイジに声をかけてきたのは、帝愛グループ企業のひとつを任される社長に出世し、スーツに身を包んだ大槻だった。大槻は一枚のチラシを見せ、自分と組まないかとカイジを誘った。それは【第５回若者救済イベント開催！バベルの塔】。金を持て余した大金持ちの老人が主催するイベントで、一攫千金のチャンスだ。運命の歯車は動き出した。カイジを待ち受ける未来は天国か地獄か？日本中を奮い立たせる最後のギャンブルが始まる-(C)福本伸行・講談社／２０２０映画「カイジ ファイナルゲーム」製作委員会,30.jpg
31,ぐらんぶる,青い海、聞こえてくる潮騒、照り付ける陽射し――国内でも珍しい離島にある大学に入った伊織の目標はただひとつ。それは気のあう友人や可愛い女子と＜キラキラな大学生活＞を送ること。なのに――「何かおかしい」最初に異変を感じたのはオリエンテーションの朝。伊織はなぜか服も記憶もなく大学の講堂の前で目覚めてしまう。やがて同じ境遇に陥った無駄にイケメンなアニメオタク・耕平と出会い、共にある場所にたどり着く。そこは常識が通用しない“無法地帯”、超ぶっ飛んだダイビングサークルだった！狂暴なクーデレいとこ、どシスコンのお姉さま、エロい先輩、はたまた激ケバギャルも！？神様、僕たちに普通の大学生活を送らせてください―ヤバすぎるメンバーに囲まれた、伊織と耕平の運命は果たして？！ Rating PG12 (C)井上堅二・吉岡公威／講談社 (C)2020映画「ぐらんぶる」製作委員会,31.jpg
32,マネー・ショート華麗なる大逆転 (字幕版),実話に基づき、４人のアウトサイダーを描いた物語。大手銀行、メディア、政府が否定した世界経済の破綻を予見した男たちによる大胆な投資は、銀行のいかがわしい闇を浮かび上がらせた。そこには人間も物も、何もかも信じられない世界があった。,32.jpg
33,呪怨　劇場版,ある日、介護ボランティアをする女子大生の仁科理佳は、寝たきりの老婆・徳永幸枝の様子を見るためその家を訪れた。理佳は何か不気味な雰囲気を感じつつも家の中へと入っていく。悪臭が漂い物が散乱する中を進み、一階の薄暗い部屋で幸枝を発見する理佳だったが…。数日前、幸枝の息子・勝也が帰宅すると妻が倒れていた。この家に引っ越して以来、一家は不吉なことに見舞われ続けていた。やがて勝也の妹・仁美が不審に思いこの家にやって来るが、どこか様子のおかしい勝也に門前払いされてしまう。これを機に、仁美にも不吉なことが憑きまとうようになり…。（Ｃ）「呪怨」製作委員会,33.jpg
34,この世界の片隅に,すずは、広島市江波で生まれた絵が得意な少女。昭和19年、20キロ離れた町・呉に嫁ぎ18歳で一家の主婦となったすずは、あらゆるものが欠乏していくなかで、日々の食卓を作り出すために工夫を凝らす。,34.jpg
35,ピーターラビット™ （字幕版),ピーターは世界で一番幸せなウサギ。たくさんの仲間に囲まれ、画家のビアという心優しい大親友もいる。亡き両親のことを想うと寂しいけれど、ビアの存在がすべてを吹き飛ばしてくれる。ところがある日、大都会ロンドンから潔癖症で動物嫌いのマグレガーが隣に引っ越してきたことで、ピーターの生活は一変！今までの幸せを守りたいピーターと、あの手この手で動物たちを追い払おうとするマグレガーとの争いはエスカレート。さらにビアへの“恋心”も絡まって思わぬ大事件に発展！ピーターはあるミッションを秘めて、初めてのロンドンへ向かうのだが——。,35.jpg
36,プラットフォーム,"ある日、ゴレンは目が覚めると「48」階層にいた。部屋の真ん中に穴があいた階層が遥か下の方にまで伸びる塔のような建物の中、上の階層から順に食事が""プラットフォーム""と呼ばれる巨大な台座に乗って運ばれてくる。上からの残飯だが、ここでの食事はそこから摂るしかないのだ。同じ階層にいた、この建物のベテランの老人・トリマカシからここでのルールを聞かされる…1ヶ月後、ゴレンが目を覚ますと、そこは「171」階層で、ベッドに縛り付けられて身動きが取れなくなっていた！果たして、彼は生きてここから出られるのか！？",36.jpg
37,ストーリー・オブ・マイライフ／わたしの若草物語,19世紀、アメリカ、マサチューセッツ州ボストン。マーチ家の四姉妹メグ、ジョー、ベス、エイミー。情熱家で、自分を曲げられないため周りとぶつかってばかりの次女ジョー（シアーシャ・ローナン）は、小説家を目指し、執筆に励む日々。自分とは正反対の控えめで美しい姉メグ（エマ・ワトソン）が大好きで、病弱な妹ベス（エリザ・スカレン）を我が子のように溺愛するが、オシャレにしか興味がない美人の妹エイミー（フローレンス・ピュー）とはケンカが絶えない。 この個性豊かな姉妹の中で、ジョーは小説家としての成功を夢見ている。ある日ジョーは、資産家のローレンス家の一人息子であるローリー（ティモシー・シャラメ）にダンス・パーティで出会う。ローリーの飾らない性格に、徐々に心惹かれていくジョー。 しかしローリーからプロポーズされるも、結婚をして家に入ることで小説家になる夢が消えてしまうと信じるジョーは、「私は結婚できない。あなたはいつかきっと、もっと素敵な人と出会う」とローリーに告げる。 自分の選択でありながらも、心に一抹の寂しさを抱えながらジョーは小説家として自立するため、ニューヨークに渡る――。,37.jpg
38,返校 言葉が消えた日,1962年、蒋介石率いる国民党の独裁政権下の台湾では、市民に相互監視と密告が強制されていた。翠華高校に通う女子高生のファン・レイシンが放課後の教室で眠りから目を覚ますと、何故か学校には誰もいなくなってい た。校内を一人さ迷うファンは、政府から禁じられた本を読む読書会メンバーで、秘かに彼女を慕う男子学生のウェイ・ジョンティンと出会い、協力して学校からの脱出を試みるが、どうしても外に出ることができない。消えた同級生や先生を探す二人は悪夢のような恐怖が迫るなか、学校で起こった政府による暴力的な迫害事件と、その原因を作った 密告者の哀しい真相に近づいていくー。,38.jpg
39,ゾンビランド：ダブルタップ,2009年、地球は爆発的なウィルス感染により人類はゾンビと化し、数少ない生き残りの1人で あるアメリカ・テキサス州の生存者、コロンバス(ジェシー・アイゼンバーグ)は「生き残るための32のルール」を作り、タラハシー(ウディ・ハレルソン)、ウィチタ(エマ・ストーン)、リトルロック(アビゲイル・ ブレスリン)ら仲間と共に、お互いを支え合ったり、裏切ってみたり、恋したり、親の気持ちになったりしながら、明るくゾンビ社会を生き抜いていた。 ――あれから10年。2019年の地球はさらに激しくゾンビ化し、ヤツらはさらに進化を遂げていた! なんだかんだで“ファミリー”の4人は、さらにパワーアップさせた73!?のルールで、生き残りをかける!!,39.jpg
40,アイネクライネナハトムジーク,仙台駅前。 大型ビジョンには、日本人のボクシング世界王座をかけたタイトルマッチに沸く人々。そんな中、この時代に街頭アンケートに立つ会社員・佐藤の耳に、ふとギターの弾き語りが響く。歌に聴き入る紗季と目が合い思わず声をかけると、快くアンケートに応えてくれた。 二人の小さな出会いは、妻と娘に出て行かれ途方にくれる佐藤の上司・藤間や、分不相応な美人妻・由美と娘・美緒を持つ佐藤の親友・一真、その娘の同級生・和人の家族、由美の友人で、声しか知らない男に恋する美容師・美奈子らを巻き込み、10年の時をかけて奇跡のような瞬間を呼び起こす─。,40.jpg
41,少年の君,進学校に通う高校3年生のチェン・ニェン。大学進学のための全国統一入学試験を控え殺伐とする校内で、ひたすら参考書に向かい息を潜めて卒業までの日々をやり過ごしていた。そんな日々の中、同級生の女子がクラスメイトのいじめを苦に、校舎から飛び降り自らの命を絶った。少女の死体に無遠慮に向けられる生徒たちのスマホのレンズ、その異様な光景に耐えきれなくなったチェン・ニェンは、遺体にそっと自分の上着をかけてやる。しかしそのことがきっかけで、激しいいじめの矛先はチェン・ニェンへと向かうようになってしまう。彼女の学費のためと犯罪スレスレの商売に手を出している母親以外に身寄りはなく、頼る者もないチェン・ニェン。同級生たちの悪意が日増しに激しくなる中、下校途中の彼女は集団暴行を受けている少年を目撃し、とっさの判断で彼シャオベイを窮地から救う。辛く孤独な日々を送る優等生の少女と、ストリートに生きるしかなかった不良少年。二人の孤独な魂は、いつしか互いに引き合ってゆくのだが…。,41.jpg
42,ライトハウス,1890年代、ニューイングランドの孤島に二人の灯台守がやって来る。彼らにはこれから四週間に渡って、灯台と島の管理を行う仕事が任されていた。だが、年かさのベテラン、トーマス・ウェイク（ウィレム・デフォー）と未経験の若者イーフレイム･ウィンズロー（ロバート・パティンソン）は、そりが合わずに初日から衝突を繰り返す。険悪な雰囲気の中、やってきた嵐のせいで二人は島に閉じ込められてしまう……。,42.jpg
43,ブックスマート 卒業前夜のパーティーデビュー,成績優秀な優等生であることを誇っていた親友同士のエイミー(ケイトリン・デヴァー)とモリー(ビーニー・フェルドスタイン)。しかし、卒業前夜、遊んでばかりいたはずの同級生もハイレベルな進路を歩むことを知り自信喪失。二人は失った時間を取り戻すべく卒業パーティーに乗り込むことを決意する。果たして、二人を待ち受ける怒涛の一夜の冒険とは?そして、無事に卒業式を迎えることができるのだろうか!?,43.jpg
44,パラサイト 半地下の家族,全員失業中で、その日暮らしの生活を送る貧しいキム一家。長男ギウは、ひょんなことからIT企業のCEOである超裕福なパク氏の家へ、家庭教師の面接を受けに行くことになる。そして、兄に続き、妹のギジョンも豪邸に足を踏み入れるが...この相反する2つの家族の出会いは、誰も観たことのない想像を超える悲喜劇へと猛烈に加速していく――。,44.jpg
45,見えない目撃者,警察学校卒業式の夜、自らの過失で弟を事故死させてしまった浜中なつめ（吉岡里帆）。そのときの事故が原因で失明し、警察官を諦めた彼女は、弟の死を乗り越えることができずに３年経った今も失意の中にいた。 そんなある日、なつめは車の接触事故に遭遇する。その事故現場で車中から聞こえた、助けを求める少女の声から誘拐事件の可能性があると訴えるなつめ。視覚以外の感覚から感じ取った『目撃』情報を警察に提示するも、警察は目の見えないなつめを『目撃者』足り得ないと考え、捜査を打ち切ってしまう。 それでも、少女を救いたいと考えるなつめは、事故現場で車に接触したスケボー少年・国崎春馬（高杉真宙）を探し出す。やがて、彼らの必死の捜査により女子高生失踪が関連づけられてゆくのだが、猟奇殺人犯の魔の手は彼らにも迫ってくるーーー,45.jpg
46,ブライトバーン/恐怖の拡散者,子供ができず、ずっと苦しんできたトーリ(エリザベス・バンクス)は、母になる日を夢見ていた。ある日、謎めいた男の赤ちゃんの到来でその夢が実現する。聡明で、才能にあふれ、好奇心旺盛な子供ブランドンは、トーリと夫のカイル(デヴィッド・デンマン)にとってかけがえのない存在となった。しかし、12歳になったブランドン(ジャクソン・A・ダン)の中に強烈な闇が現れ、トーリは息子に恐ろしい疑いを抱き始める。やがてブランドンは、普通の人が持つことのない異常な力を発揮し始める。そしてブランドンは、カンザス州・ブライトバーンをとてつもない恐怖に陥れていった――。,46.jpg
47,クイーン＆スリム,クリーブランドの街角。初デートの帰り道、クイーンとスリムは難癖をつけてきた白人警官に車を止められた。弁護士として納得できないクイーンが強気の態度に出ると、警官は彼女に向けて発砲、激昂したスリムは警官に飛びつき逆に射殺してしまう。突然の悲劇に見舞われたふたりは、南へと車を走らせる。 こうして始まった逃避行。事件の映像が流出しSNSで拡散されたことにより、2人は人々の怒りの“象徴”となっていく。,47.jpg
48,恐怖人形,女子大生の平井由梨は日々、趣味のカメラで幼なじみの真人と日常の風景を撮影していた。そんなある日、由梨の自宅に差出人不明のパーティの案内が届く。少し怪しげな案内状ではあったが、真人のところにも同じものが届いていたことから、2人は軽い気持ちでパーティに参加することに。それは、決して引き返すことのできないパーティだった・・・。,48.jpg
